property_name,price,location,area,bathrooms,beds
غرف للايجار اليومي في ولاية نزوى قريب دوار اللولو,OMR 10,"Nizwa, Al Dakhiliya•",10 SQM,3,3
room for Rent,OMR 100,"Al Khuwair, Muscat•",20 SQM,1,1
single room with attached bathroom for rent  behind Nesto,OMR 80,"Al Maabilah, Muscat•",100 SQM,1,1
شقة للايجار اليومي والاسبوعي المعبيلة 13 ريال,"OMR 1,300","Al Maabilah, Muscat•",120 SQM,2,1
Flat for Rent – Brand New Building in Ghala Heights!,OMR 225Negotiable,"Ghala, Muscat•",75 SQM,2,1
Executive Bachelor Accommodation  AT ALKHUWAIR,OMR 80Negotiable,"Al Khuwair, Muscat•",55 SQM,2,1
للايجار أرضي صناعية,OMR 500Negotiable,"Al Sinainah, Al Buraimi•","3,637 SQM",Not specified,Not specified
غرفتين وصاله بمطبخ أمريكي بالموالح قريب شارع مازون شامل الفوتير,OMR 200,"Al Mawaleh, Muscat•",50 SQM,1,2
شقه غرفه وصاله وحمام ومطبخ بالموالح قريب من سوق الخضار,OMR 160,"Al Mawaleh, Muscat•",50 SQM,1,1
House shiffting service all Muscat oman and Dubai to Muscat oman and,OMR 75Negotiable,"Al Khoud, Muscat•",68 SQM,3,2
مسقط الخوض السادسة,OMR 150,"Al Khoud, Muscat•",120 SQM,3,2
فيلا للايجار في خريف صلالة ( عوقد ),OMR 80Negotiable,"Salalah, Dhofar•",200 SQM,3,3
Furnished Rom for exicutive Bachilor or family Near ISD,OMR 110Negotiable,"Darsait, Muscat•",10 SQM,3,2
Room with attached washrrom available for rent full/sharing basis,OMR 55,"Al Ghubrah, Muscat•",100 SQM,1,1
شقة للاجار اليومي خريف 2025,OMR 66,"Salalah, Dhofar•",133 SQM,2,3
furnished room available for male executive bachelor in ghubrah,OMR 130,"Al Ghubrah, Muscat•",20 SQM,1,1
شقه جديده مفروشه للايجار الموقع صحلنوت,OMR 50,"Salalah, Dhofar•",130 SQM,2,2
مخازن للإيجار في الموالح,OMR 270,"Al Mawaleh, Muscat•",100 SQM,Not specified,Not specified
1BHK & 2BHK in AL AMARAT for rent,OMR 110Negotiable,"Al Amarat, Muscat•",55.5 SQM,1,1
"A bed space for daily, weekly and monthly rent",OMR 40,"Al Khuwair, Muscat•",33 SQM,1,1
"Spacious 2-Bedroom Apartment for Rent in Al Mahaj, Al Amerat – Prime L",OMR 175Negotiable,"Al Amarat, Muscat•",110 SQM,3,2
1BHK Apartment in Al Amerat,OMR 100,"Al Amarat, Muscat•",65 SQM,1,1
1BHK & 2BHK Apartment in Al Ansab For Rent,OMR 220,"Ansab, Muscat•",145 SQM,3,2
House shiffting service all Muscat oman and Muscat oman to Dubai,OMR 70Negotiable,"Madinat As Sultan Qaboos, Muscat•",98 SQM,3,2
2 Brand New Shops,OMR 285Negotiable,"Barka, Al Batinah•",24.64 SQM,Not specified,Not specified
‎محل جديد للإيجار في دانة العرفان في الواجهة,OMR 340Negotiable,"Ghala, Muscat•",39 SQM,Not specified,Not specified
فيلا السعادة الجنوبية آجار يومي قرب الخدمات,OMR 80,"Salalah, Dhofar•",300 SQM,5,5
Sharing Room for Rent near Ruwi Madrasa,OMR 30,"Ruwi, Muscat•",30 SQM,1,1
House shiffting service all Muscat oman and Dubai to Muscat oman,OMR 55Negotiable,"Al Wadi Al Kabir, Muscat•",95 SQM,3,2
House shiffting service all Muscat oman and Dubai to Muscat oman,OMR 115Negotiable,"Al Khuwair, Muscat•",98 SQM,5,4
House shiffting service all Muscat oman and Dubai to Muscat oman,OMR 120Negotiable,"Al Mawaleh, Muscat•",98 SQM,5,4
شقة للايجار بمنتجع هوانا صلالة,OMR 65Negotiable,"Salalah, Dhofar•",63 SQM,1,1
ابحث عن شقه للإيجار,OMR 120,"Al Maabilah, Muscat•",120 SQM,2,3
New House For Rent,OMR 180,"Sohar, Al Batinah•",750 SQM,2,2
Muscat Tourist Hostel,Price not mentioned,"Al Ghubrah, Muscat•",196 SQM,3,3
"We have in North Ghubrah, South Ghubrah, Al Khuwair and Al Udhaiba 110",OMR 100,"Al Ghubrah, Muscat•",120 SQM,1,1
House shiffting service all Muscat oman and Dubai and the best price,OMR 60Negotiable,"Qurum, Muscat•",98 SQM,3,2
House shiffting service all Muscat oman and Dubai to Muscat oman,OMR 75Negotiable,"Muscat Hills, Muscat•",98 SQM,3,2
Brand new offices in Mawaleh/Al Hail / Al Khoud,OMR 100Negotiable,"Al Hail, Muscat•",15 SQM,Not specified,Not specified
Furnished and Serviced Offices for Rent in Mazoon Square,OMR 150Negotiable,"Al Mawaleh, Muscat•",10 SQM,Not specified,Not specified
من المالك مباشرة ارض سكنية للايجار او الاستثمار بصحار /فلج القبائل,"OMR 1,200Negotiable","Sohar, Al Batinah•","6,000 SQM",Not specified,Not specified
بركاءقرحة البلوش,OMR 65,"Barka, Al Batinah•",55 SQM,Not specified,Not specified
"2BHK FLAT for RENT, spacious suited for FAMILIES",OMR 160,"Al Hamriyah, Muscat•",95 SQM,3,2
Movers and packers all Muscat oman and Dubai to Muscat oman and,OMR 70Negotiable,"Al Maabilah, Muscat•",68 SQM,3,2
single room rent,OMR 100,"Al Ghubrah, Muscat•",100 SQM,1,1
Gulf Hotel Apartments with special discounts,OMR 50Negotiable,"Al Ghubrah, Muscat•",65 SQM,Not specified,Not specified
Office / Shop /  Boutique / Store,OMR 190Negotiable,"Ruwi, Muscat•",39 SQM,Not specified,Not specified
A beautiful apartment for rent in alhail north directly from the owner,OMR 300,"Al Hail, Muscat•",100 SQM,2,3
6 BHK VILLA Amerat No. 5 Prime Location,OMR 400Negotiable,"Al Amarat, Muscat•",500 SQM,7,6
big flat for rent in mubelah south,OMR 170,"Al Maabilah, Muscat•",130 SQM,4,4
فيلا بتصميم عصري للايجاري اليومي,OMR 100,"Salalah, Dhofar•",300 SQM,6,5
room for rent near Badr sama,OMR 55,"Sohar, Al Batinah•",55 SQM,1,1
Room available for Indian or Philippines,OMR 100Negotiable,"Nizwa, Al Dakhiliya•",80 SQM,1,1
Single room with bathroom wanted,Price not mentioned,"Nizwa, Al Dakhiliya•",100 SQM,1,1
المروج سهل اتين,OMR 90,"Salalah, Dhofar•",365 SQM,Not specified,Not specified
bed space monthly,OMR 30,"Al Khuwair, Muscat•",415 SQM,2,3
شقه للايجار اليومي او الاسبوعي مفروشه,OMR 50,"Sur, Al Sharqiya•",120 SQM,2,3
استديو للاجار فى  منطقه الخوير 110,OMR 110,"Al Khuwair, Muscat•",60 SQM,1,1
Room for Rent - Bawshar,OMR 110,"Bosher, Muscat•",20 SQM,1,1
مطلوب شقة سكنية,OMR 70,"Suwaiq, Al Batinah•",80 SQM,2,1
House shiffting office shiffting furniture fixing transport,OMR 100,"Al Hail, Muscat•",10 SQM,1,1
House shiffting office shiffting furniture fixing transport,OMR 100,"Qurum, Muscat•",10 SQM,0,1
Room Sharing in Al Qurum,OMR 60,"Qurum, Muscat•",20 SQM,1,1
شقق مفروشة للإيجار اليومي بدأ من ٤٠ ريال,OMR 50,"Salalah, Dhofar•",160 SQM,3,3
bed space in gaha 65,OMR 65Negotiable,"Ghala, Muscat•",19 SQM,0,1
مطلوب شقق لنشاط تجاري مكاتب,Price not mentioned,"Al Maabilah, Muscat•",100 SQM,2,2
nice flat near AL fair and health centre in Azaiba only families,OMR 275,"Azaiba, Muscat•",150 SQM,2,2
Amazing fully furnished flat in Qautab bar al jaseh pay,OMR 800,"Barr Al Jissah, Muscat•",200 SQM,3,2
Nodern house neare wave and muzun mall,OMR 700Negotiable,"Al Mawaleh, Muscat•",300 SQM,4,4
Spacious  beautiful flat in Hail North,OMR 450,"Al Hail, Muscat•",300 SQM,3,5
BED SPACE AVAILABLE GHALA EXECUTIVE BACHELOR (KERALITE ONLY) RO. 60,OMR 60,"Ghala, Muscat•",20 SQM,3,2
Bed space available Ghala . KERALITE ONLY EXECUTIVE BACHELOR,OMR 60,"Ghala, Muscat•",20 SQM,3,3
Townhouse at Dar Al Zain,OMR 370Negotiable,"Al Seeb, Muscat•",222 SQM,3,4
3 bhk flat for rent in seeb muscat,OMR 165Negotiable,"Al Seeb, Muscat•","36,225 SQM",3,3
room for lady only,OMR 90,"Qurum, Muscat•",80 SQM,2,2
ROOM FOR RENT DAILY,OMR 20,"Salalah, Dhofar•",20 SQM,1,Studio
Signle Room For Bachelor,OMR 90,"Al Khoud, Muscat•",27 SQM,1,1
Male n female bed space available in gubragubra,OMR 45Negotiable,"Al Ghubrah, Muscat•",25 SQM,1,1
شقق للايجار,OMR 50Negotiable,"Salalah, Dhofar•",600 SQM,4,3
فلل راقية للإيجار اليومي في مواقع مميزة بصلالة,OMR 100,"Salalah, Dhofar•",600 SQM,7,6
room for rent.,OMR 120,"Al Khuwair, Muscat•",50 SQM,1,1
انوار صلاله للشقق الفندقيه _عوقد /عرض خاص,OMR 99,"Salalah, Dhofar•",190 SQM,3,3
السعادة الشمالية,OMR 20,"Salalah, Dhofar•",35 SQM,1,1
فيلا منفصله مميزه و جميله للإجار في الخوض السابعة,OMR 300,"Al Khoud, Muscat•",367 SQM,2,3
غرف للإيجار في الخوض,OMR 10,"Al Khoud, Muscat•",40 SQM,1,1
A single bed space in a sharing room for rent,OMR 35,"Al Khuwair, Muscat•",35 SQM,1,1
120 studio in Alkhuwair bill included,OMR 120,"Al Khuwair, Muscat•",35 SQM,1,1
room for rent north alghubrah,OMR 130,"Al Ghubrah, Muscat•",22 SQM,1,1
Bed space available,OMR 35Negotiable,"Ansab, Muscat•",60 SQM,1,1
شقة في المعبيلة الجنوبية الثامنة,OMR 125,"Al Maabilah, Muscat•",140 SQM,3,2
studio flat in Al khuwair,OMR 185,"Al Khuwair, Muscat•",70 SQM,2,1
industrial land for rent‏أرض صناعية للإيجارات المسفاه,"OMR 3,600Negotiable","Misfah, Muscat•","1,500 SQM",Not specified,Not specified
فلة للايجار اليومي,OMR 60,"Salalah, Dhofar•",635 SQM,2,3
Sharing Bedspace for Executive Bachelor Beside Nesto Mabela Blaban,OMR 35,"Al Maabilah, Muscat•",200 SQM,1,1
استراحة في اتين صلاله,OMR 135Negotiable,"Salalah, Dhofar•","1,400 SQM",5,4
Furnished flat for rent (15 rial per day) Limited Time offer,OMR 15Negotiable,"Salalah, Dhofar•",50 SQM,1,1
ابحث عن بيت او شقه بشهري,OMR 700,"Salalah, Dhofar•",11 SQM,4,4
clean room for rent,OMR 100,"Al Khuwair, Muscat•",100 SQM,1,1
شقق مفروشة راقية للايجار اليومي والاسبوعى، daily furnished Apartments,OMR 50Negotiable,"Al Ghubrah, Muscat•",80 SQM,2,2
96513593.2 badrum  1 bathrum  with furniture  and water electricit,OMR 150,"Al Khuwair, Muscat•",50 SQM,1,2
بناية النسيم شقق,OMR 50,"Salalah, Dhofar•",100 SQM,2,2
Room for rent,OMR 70Negotiable,"Al Maabilah, Muscat•",50 SQM,1,1
Room for rent,OMR 125,"Ghala, Muscat•",50 SQM,1,1
شقه بصلاله (سعاده شماليه) موقع ممتاز,Price not mentioned,"Salalah, Dhofar•",20 SQM,2,3
غرفة نوم و دورة مياة في السيب,OMR 70,"Al Seeb, Muscat•",25 SQM,1,1
Bed space near Mall of Oman,OMR 45,"Bosher, Muscat•",150 SQM,1,1
We are looking for building leasing and mentainance,Price not mentioned,"Muscat - Other, Muscat•",100 SQM,2,2
غرف واستوديو هات فرش وبدون فرش اسعار تبدا ب١٠٠ ريال,OMR 100,"Al Khuwair, Muscat•",60 SQM,1,2
‏غرف للإيجار صلالة يومي,OMR 15,"Salalah, Dhofar•",77 SQM,1,1
"1 BHK Flat for Rent – Near ISM, Darsait",OMR 110,"Darsait, Muscat•",40 SQM,1,1
المصنعة ، Almusana,OMR 60Negotiable,"Al Masn'a, Al Batinah•","1,200 SQM",4,2
flat for rent in ZAIN ALAUZAIBA Building,OMR 250,"Azaiba, Muscat•",70 SQM,2,1
منزل للايجار اليومي,OMR 50,"Salalah, Dhofar•",400 SQM,3,3
Furnished Room for rent with seperate bathroom for Gents,OMR 100Negotiable,"Al Hail, Muscat•",75 SQM,1,1
Big furnished room,OMR 150Negotiable,"Al Maabilah, Muscat•",25 SQM,1,1
furnished room for rent عرفة مفروشة للايجار,OMR 100,"Al Maabilah, Muscat•",20 SQM,1,1
Room for rent in Ruwi - Honda Road,OMR 90Negotiable,"Ruwi, Muscat•",75 SQM,1,1
منزل للاجار اليومي صلالة,OMR 55,"Salalah, Dhofar•",400 SQM,3,3
furnished room for working ladies,OMR 70Negotiable,"Al Ghubrah, Muscat•",100 SQM,1,1
Room for rent in barka,OMR 40,"Barka, Al Batinah•",15 SQM,1,1
"M u s c a t , Offices",OMR 250,"Al Khuwair, Muscat•",20 SQM,Not specified,Not specified
for rent,OMR 80Negotiable,"Darsait, Muscat•","1,000,000 SQM",3,3
استراحه النخيل للايجار اليومي,OMR 50Negotiable,"Al Mudaibi, Al Sharqiya•",600 SQM,3,1
Furnished Studio 4rent in al-Aziba,OMR 175Negotiable,"Azaiba, Muscat•",20 SQM,1,1
Executive bachelor Bed space for rent in Ruwi Near Sultan sports Ruwi,OMR 50Negotiable,"Al Hamriyah, Muscat•",150 SQM,2,2
1 BHK FLAT AVAILABLE FOR RENT,OMR 180,"Madinat As Sultan Qaboos, Muscat•",20 SQM,2,1
فرصة ذهبية: أرض صناعية للإيجار في موقع مميز جداً,"OMR 1,000","Al Amarat, Muscat•",500 SQM,Not specified,Not specified
needed one professional person for sharing room neat and clean room,OMR 50Negotiable,"Al Ghubrah, Muscat•",10 SQM,1,1
BED SPACE AND ROOM FOR LADIES ONLY,OMR 45Negotiable,"Ruwi, Muscat•",300 SQM,2,3
3+1  beautiful villa in almouj Rehan Residence  from owner direct,"OMR 1,275Negotiable","The Wave (Almouj), Muscat•",200 SQM,3,3
محلات ومعرض للإيجار,OMR 60,"Saham, Al Batinah•",22 SQM,Not specified,Not specified
"FOR RENT 1388 Ghala, Muscat",OMR 180,"Ghala, Muscat•",80 SQM,2,1
Appartments for rent,OMR 350,"Azaiba, Muscat•",110 SQM,2,2
شقه استوديو للايجار اليومي بسعر 25زيال فقط منتجع السيفه,OMR 50,"Bosher, Muscat•",100 SQM,1,1
one furnished room in a villa in aziba,OMR 185,"Azaiba, Muscat•",30 SQM,0,1
one room studio for rent brand new,OMR 210,"Al Ghubrah, Muscat•",25 SQM,1,1
منزل للإيجار الرستاق قرية الغشب,OMR 120,"Al Rustaq, Al Batinah•",130 SQM,3,3
Leen Ap,OMR 50Negotiable,"Ghala, Muscat•",80 SQM,1,1
Room for Rent,OMR 130,"Al Ghubrah, Muscat•",30 SQM,0,1
COMMERCIAL SPACE FOR RENT,"OMR 2,250Negotiable","Muscat Hills, Muscat•",334 SQM,Not specified,Not specified
غرف للايجار في الغبرة الشمالية For Rent Rooms in Ghobra North,OMR 150,"Al Ghubrah, Muscat•",28 SQM,2,2
غرفه بدورة مياه خاصه خلف جهاز الضرائب شامل الفواتير والانترنت,OMR 100,"Al Mawaleh, Muscat•",555 SQM,1,1
FOR RENT 3 BED ROOMS VILLA AT AL BARZHA COMPLEX  GSM 90928420,OMR 175Negotiable,"Al Khaboura, Al Batinah•",180 SQM,4,3
Khuwair 33,OMR 120,"Al Khuwair, Muscat•",90 SQM,1,2
شقة الموسم – مفروشة بالكامل للإيجار في صلالة,OMR 50,"Salalah, Dhofar•",350 SQM,3,3
"shops for Rent - main road, Wadi Kabir (Near signal)",OMR 270,"Al Wadi Al Kabir, Muscat•",71 SQM,Not specified,Not specified
غرفه للايجار او فردين سعر الفرد 35,OMR 35,"Al Khoud, Muscat•",20 SQM,2,2
شقة للإجار في مجمع زهرة الخريف أجوان متاحة خلاش شهر 7,OMR 50Negotiable,"Salalah, Dhofar•",120 SQM,2,2
شقة الإيجار /Flat for rent,OMR 160Negotiable,"Azaiba, Muscat•",100 SQM,2,2
villa fore rent ambar near Indian school,OMR 250,"Sohar, Al Batinah•",200 SQM,3,3
بركاء Barka,OMR 450Negotiable,"Barka, Al Batinah•",84 SQM,Not specified,Not specified
صلاله الوادى,OMR 50,"Salalah, Dhofar•",10 SQM,2,2
شقة صغيرة ونظيفة للايجار 135 ريال,OMR 135,"Misfah, Muscat•",56 SQM,1,1
"Single Room with attached Bathroom, seprate entrance for Rent",OMR 90,"Darsait, Muscat•",20 SQM,1,1
فيلا للإيجار في مجمع أريج السكني,OMR 330Negotiable,"Al Seeb, Muscat•",240 SQM,5,4
"Restaurant-Ready Space – Prime Location, Great Price!",OMR 350,"Salalah, Dhofar•",100 SQM,Not specified,Not specified
فرصه معرض كبير موقع مميز بسعر رخيص,OMR 480Negotiable,"Salalah, Dhofar•",300 SQM,Not specified,Not specified
محل للإيجار ف العامرات Shop for rent in Al Amerat,OMR 130,"Al Amarat, Muscat•",24 SQM,Not specified,Not specified
room for rent,OMR 60Negotiable,"Al Maabilah, Muscat•",150 SQM,1,1
محلات للايجار في ولايه لوىshop for rent in liwa,OMR 70,"Liwa, Al Batinah•",400 SQM,Not specified,Not specified
الخوض بحي الكوثر,OMR 25,"Al Khoud, Muscat•",20 SQM,1,1
warehouse for rent,"OMR 2,000Negotiable","Ghala, Muscat•","1,050 SQM",Not specified,Not specified
شقق ومحلات الايجار,OMR 100,"Liwa, Al Batinah•",400 SQM,Not specified,Not specified
for kerala muslims,OMR 45Negotiable,"Mutrah, Muscat•",18 SQM,1,1
room and flat available,OMR 125,"Al Maabilah, Muscat•",70 SQM,1,1
Nice house in Qurm 16 Neare masinat sultan,OMR 555,"Madinat As Sultan Qaboos, Muscat•",300 SQM,5,3
محل للإيجار في الخوض,OMR 250,"Al Khoud, Muscat•",33.3 SQM,Not specified,Not specified
شقه مفروشه غرفة و صاله الخوض شارع مزون,OMR 350,"Bosher, Muscat•",114 SQM,2,2
standalone house in hail south Near Turkish Market and Dusteen Restaur,OMR 500Negotiable,"Al Hail, Muscat•",400 SQM,4,5
Semi Furnished Flat for Short Term ( 1-2 Months) Rent - 1 BHK,OMR 140Negotiable,"Al Ghubrah, Muscat•",40 SQM,1,1
Furnish Room For Lady Family Flat Cal 79146789,OMR 90,"Al Wadi Al Kabir, Muscat•",30 SQM,1,1
المعبيلة الجنوبية قرب مول مسقط,OMR 220,"Al Maabilah, Muscat•",100 SQM,3,2
Flat for Rent Al mabilah,OMR 230Negotiable,"Al Maabilah, Muscat•",100 SQM,3,2
Office For Rent in a Hot location at Azaiba 18th November,OMR 550,"Azaiba, Muscat•",95 SQM,Not specified,Not specified
spacious  bright flat near Holiday Inn Hotel near carfour,OMR 230Negotiable,"Al Mawaleh, Muscat•",200 SQM,3,2
fully furnished spacious flat ib muscat Bay Qubtan,OMR 850Negotiable,"Qantab, Muscat•",200 SQM,2,2
Modern Villa in South Mawleh Near Omantel,OMR 460Negotiable,"Al Mawaleh, Muscat•","3,000 SQM",4,4
room for rent beside carfuor for Filipino,OMR 75,"Al Mawaleh, Muscat•",20 SQM,1,1
amazing  house in qurum 29 near Madinat sultan,OMR 555Negotiable,"Qurum, Muscat•",300 SQM,5,4
مساحة 1100  متر تقريبًا للايجار في المسفاه الخط الاول للشارع,"OMR 1,100","Misfah, Muscat•","1,100 SQM",Not specified,Not specified
(special offer ) 2BHK flat at Azibah South-Ref-D-75,OMR 240Negotiable,"Azaiba, Muscat•",100 SQM,2,2
محل تجاري في  الحيل  الجنوبيه  على الجنب واسع به ديكور,OMR 80,"Al Hail, Muscat•",40 SQM,Not specified,Not specified
big flat in AL khoud near oman oil,OMR 140,"Al Seeb, Muscat•",120 SQM,2,3
شقة بمنتجع السيفة,OMR 250,"Al Sifah, Muscat•",300 SQM,1,1
استوديو للايجار بمنتجع جبل السيفة,OMR 250,"Al Sifah, Muscat•",350 SQM,1,1
غرفه الايجار بسوق الخوض,OMR 100,"Al Khoud, Muscat•",20 SQM,1,1
office with store for rent,OMR 250,"Al Ghubrah, Muscat•",77 SQM,Not specified,Not specified
Room for Rent,OMR 110,"Bosher, Muscat•",10 SQM,1,1
شقة للايجار اليومي خريف صلاله,OMR 50,"Salalah, Dhofar•",150 SQM,3,4
شقة في المعبيلة الجنوبية,OMR 130,"Al Maabilah, Muscat•",130 SQM,3,3
Room for Rent - Bausher,OMR 90Negotiable,"Al Ghubrah, Muscat•",60 SQM,1,1
2BHK for rent in Al ghashba,OMR 110,"Sohar, Al Batinah•",10 SQM,2,2
Affordable Labor & Staff Accommodation in Khazaen Economic City,OMR 160,"Barka, Al Batinah•",40 SQM,2,1
للبيع - شقة في المعبيلة على شارع النزهة خط نيستو بسعر مغري جداً,"OMR 5,000","The Wave (Almouj), Muscat•",100 SQM,2,2
فيلا في أمتداد عوقد ب للأيجار اليومي,OMR 150,"Salalah, Dhofar•",600 SQM,4,4
شقه الايجار اليومي اقراء الوصف,OMR 50,"Salalah, Dhofar•",400 SQM,2,2
"بنايه المنصور، للايجار اليومي  . . Al Mansour Regency, Awqad",OMR 50Negotiable,"Salalah, Dhofar•",90 SQM,2,2
فلل جديده vip للايجار خريف صلالة في عوقد 2025,OMR 180,"Salalah, Dhofar•",350 SQM,9,7
غرفة للايجار في قلب صلالة. متاح من يوم 23,OMR 15,"Salalah, Dhofar•",24 SQM,1,1
flat for rent-Darsait-excellent location,OMR 210Negotiable,"Darsait, Muscat•",85 SQM,3,2
Furnish Room For Single Lady  Family Flat Cal 79146789,OMR 95,"Al Wadi Al Kabir, Muscat•",30 SQM,1,1
Apartments for Rent – Ruwi,OMR 80,"Ruwi, Muscat•",600 SQM,1,3
Apartments for Rent – Ruwi,OMR 100,"Ruwi, Muscat•",600 SQM,2,3
بيت في سمد الشان للايجار,OMR 115,"Al Mudaibi, Al Sharqiya•",400 SQM,3,3
a peaceful 70m² unit in Muscat Hills Avenue for rent,OMR 300,"Muscat Hills, Muscat•",70 SQM,2,1
صلاله,OMR 50,"Salalah, Dhofar•",150 SQM,2,2
ROOM FOR RENT,OMR 100,"Ruwi, Muscat•",25 SQM,1,1
فيلا للإيجار ف الخريف نظيفة راقية ف السعادة  متوفرة من 8/23إلى 9/10,OMR 150,"Salalah, Dhofar•",600 SQM,10,8
شقة للعوائل مدخل خاص نظيفة جدا,OMR 50,"Salalah, Dhofar•",140 SQM,2,3
furnished rooms available for an executive male bachelors in ghubrah,OMR 130,"Al Ghubrah, Muscat•",25 SQM,1,1
Executive Bed Space Available in Ghala Heights,OMR 65,"Ghala, Muscat•",250 SQM,3,2
full room or sharing only for malayali,OMR 40Negotiable,"Misfah, Muscat•",15 SQM,2,2
Room for rent,OMR 100Negotiable,"Al Ghubrah, Muscat•",45 SQM,1,1
شقة الايجار في المعبيلة بقرب من مسقط مول,OMR 260Negotiable,"Al Maabilah, Muscat•",146 SQM,2,2
شقة للإيجار معبيلة الرابعة للعزابية,OMR 155,"Al Maabilah, Muscat•",100 SQM,2,3
Master Bedroom for Rent – Only for Filipino or Indian Executive Lady.,OMR 120Negotiable,"Al Hail, Muscat•",180 SQM,1,1
ايجار شقق في صحلنوت,OMR 70,"Salalah, Dhofar•",280 SQM,3,3
غرفة للأجار اليومي، الاسبوعي، الشهري,OMR 100,"Al Maabilah, Muscat•","1,000,000 SQM",1,1
room for rent near the city cntr and shell petrol station 98493959,OMR 100,"Al Mawaleh, Muscat•",24 SQM,1,1
للبيع أو الإيجار رياحين بدية الراكة بيت ضيافة استراحة,OMR 50,"Bidiya, Al Sharqiya•",150 SQM,4,3
Single and double bed room accoomodation available in Wad Adai,OMR 170,"Ruwi, Muscat•",100 SQM,2,2
للإيجار | محلات تجارية في الخوض السادسة Shops for Rent | Al Khoudh 6,OMR 600,"Al Khoud, Muscat•",400 SQM,Not specified,Not specified
بيت العطلات بوادي سال بجعلان بني بو علي ٩كم من الشاطئ الشرقية-عمان,OMR 50,"Ja'alan Bani Bu Ali, Al Sharqiya•",200 SQM,5,3
The Pearl Musct 1BHK fully furnished,OMR 475,"Muscat Hills, Muscat•",78 SQM,2,1
warehouse for rent rusail مخزن للايجار رسيل,"OMR 1,700","Al Rusayl, Muscat•",800 SQM,Not specified,Not specified
shop for rent محل للايجار,"OMR 1,000","Al Hail, Muscat•",101 SQM,Not specified,Not specified
full furnished flat for rent in boshar,OMR 300,"Bosher, Muscat•",63 SQM,2,1
Limited Time Offer: Perfect Bed Spaces in Al-Khuwair!,OMR 50,"Al Khuwair, Muscat•",22 SQM,1,1
80.                                       . . .,OMR 80Negotiable,"Salalah, Dhofar•","1,234 SQM",2,2
شقق مفروشة للإيجار خريف صلالة,OMR 50,"Salalah, Dhofar•",100 SQM,2,2
apartments for daily  rent al dharez family only,OMR 50Negotiable,"Salalah, Dhofar•",156 SQM,2,3
industrial land for investment,"OMR 4,000","Al Rusayl, Muscat•","3,000 SQM",Not specified,Not specified
Single Room with attached Bathroom Available opposite to Al Nadha Hosp,OMR 85,"Al Hamriyah, Muscat•",500 SQM,1,1
fully furnished along with electricity and water bill,OMR 200Negotiable,"Al Ghubrah, Muscat•",102 SQM,1,1
room available for rent,OMR 100,"Al Maabilah, Muscat•",200 SQM,1,1
Furnish Flat Four Daly Rant,OMR 50Negotiable,"Salalah, Dhofar•",350 SQM,2,2
غرف جديدة كليا للشباب ب ١٠ ريال,"OMR 1,000","Salalah, Dhofar•",15 SQM,1,1
منزل للإيجار اليومي,OMR 60,"Taqah, Dhofar•",300 SQM,4,4
Sharing room.,OMR 25Negotiable,"Al Maabilah, Muscat•",120 SQM,2,2
Bed space– Attached Bathroom & Shared Kitchen,OMR 40,"Ruwi, Muscat•",200 SQM,1,1
Single room for rent,OMR 60,"Mutrah, Muscat•",550 SQM,1,1
Sharing room,OMR 60,"Al Hail, Muscat•",100 SQM,1,1
room for rent for lady include water electricity  and wifi,OMR 120,"Qurum, Muscat•",25 SQM,1,1
1 BHK Specious Villa at Al Khuwair Opp AL Bustan Gift market,OMR 170,"Al Khuwair, Muscat•",100 SQM,1,1
غرفتين فندقيه في اتين,OMR 50,"Salalah, Dhofar•",80 SQM,2,2
building for rent مبنى للإيجار,OMR 550Negotiable,"Sohar, Al Batinah•",265 SQM,Not specified,Not specified
محل للايجار,OMR 150,"Al Mawaleh, Muscat•",25 SQM,Not specified,Not specified
"An Offer Rent Room Daily,Weekly And Monthly In Azaiba",OMR 10,"Azaiba, Muscat•",50 SQM,1,1
An Offer Rooms Rent At Azaiba Muscat,OMR 10,"Azaiba, Muscat•",60 SQM,1,1
محلات الايجار  محلات مسجد ناصر بن مرشد,OMR 90,"Al Maabilah, Muscat•",80 SQM,Not specified,Not specified
استوديو للايجار في الخوير 33   شامل  الفواتير و الصيانة مفروش,OMR 180,"Al Khuwair, Muscat•",80 SQM,1,1
شقة أرضية مستقلة للأجار اليومي,OMR 50,"Salalah, Dhofar•",100 SQM,2,3
Room for rent,OMR 100Negotiable,"Al Seeb, Muscat•",10 SQM,1,1
بناية وادي عين سعاده الشمالية,OMR 50,"Salalah, Dhofar•",300 SQM,4,6
غرفه ومشاركة سكن في المعبيلة الجنوبية للموظفات والطالبات فقط,OMR 70,"Al Maabilah, Muscat•",10 SQM,2,2
شقق للايجار لا تضيع فرصتك . . سعر منافس,OMR 50,"Salalah, Dhofar•",600 SQM,2,3
المعبيلة,OMR 130,"Al Maabilah, Muscat•",45 SQM,1,1
OMR 225 + 1 Month free 1 BHK luxury flat at Wadikabir ISWK,OMR 225,"Al Wadi Al Kabir, Muscat•",100 SQM,2,1
Aziba villa 4+1 for rent بالعذيبه الشماليه فيلا 4+1 للايجار,OMR 650,"Azaiba, Muscat•",300 SQM,5,4
MADINAT SULTAN QABOOS TOWNHOUSE  VILLA FOR RENT,OMR 630,"Madinat As Sultan Qaboos, Muscat•",250 SQM,4,4
السعادة الشمالية,OMR 50Negotiable,"Salalah, Dhofar•",200 SQM,3,4
